number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
0,817.9473855352869,2025-04-24 20:19:19.750675,2025-04-24 20:34:48.604951,0 days 00:15:28.854276,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
1,688.6920017145668,2025-04-24 20:19:19.777120,2025-04-24 20:52:59.421030,0 days 00:33:39.643910,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
2,738.0690988522178,2025-04-24 20:19:19.791166,2025-04-24 21:11:41.056239,0 days 00:52:21.265073,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
3,684.3436200075037,2025-04-24 20:19:19.806976,2025-04-24 21:35:58.097101,0 days 01:16:38.290125,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
4,658.6047490431798,2025-04-24 20:19:19.825029,2025-04-24 22:04:21.302000,0 days 01:45:01.476971,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
5,640.2723741704638,2025-04-24 20:19:19.857515,2025-04-24 22:30:11.813253,0 days 02:10:51.955738,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
6,837.9789630890347,2025-04-24 20:19:19.886677,2025-04-24 22:38:29.490878,0 days 02:19:09.604201,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
7,972.5662132361808,2025-04-24 20:19:19.914554,2025-04-24 22:42:37.726547,0 days 02:23:17.811993,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
8,639.3196760596434,2025-04-24 20:19:19.928097,2025-04-24 22:59:55.792972,0 days 02:40:35.864875,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
9,909.4847566729592,2025-04-24 20:19:19.940806,2025-04-24 23:04:26.607740,0 days 02:45:06.666934,3,0.846470458309974,0.05871254182522992,6.41003510568888,3,0.5849356442713105,86.59541126403374,2.636424704863906,0.16239780813448107,31,13,6,0.508233797718321,156.21088666940682,9.72918866945795,0.00011207606211860574,0.47336180394137356,3.7381801866358395,1.9762189340280077e-06,COMPLETE
