trial,value,best_val_loss,best_val_r2,epochs_trained,param_attention_heads,param_hidden_dim_1_base,param_hidden_dim_2_base,param_hidden_dim_3_base,param_coord_embed_base,param_dropout_rate,param_colonization_threshold,param_colonization_expert_weight,param_colonization_weight,param_jump_threshold,param_jump_expert_weight,param_jump_weight,param_decline_threshold,param_decline_expert_weight,param_decline_weight,param_pde_expert_weight,param_pde_weight,param_learning_rate,param_weight_decay
0,817.9473855352869,817.9473855352869,0.7177520556887785,38,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
1,688.6920017145668,688.6920017145668,0.7623540276734206,48,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
2,738.0690988522178,738.0690988522178,0.745315542790879,50,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
3,684.3436200075037,684.3436200075037,0.7638545175821889,65,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
4,658.6047490431798,658.6047490431798,0.772736193282904,76,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
5,640.2723741704638,640.2723741704638,0.779062119881203,69,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
6,837.9789630890347,837.9789630890347,0.7108397876311503,22,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
7,972.5662132361808,972.5662132361808,0.6643979560949171,11,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
8,639.3196760596434,639.3196760596434,0.7793908660671844,46,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
9,909.4847566729592,909.4847566729592,0.6861653848488767,12,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
